case_id,subject,from,date,issue_category,sentiment,urgency,business_impact,confidence,root_cause,recommended_next_action,summary,key_entities,repeat_complaint_count,health_score,escalation_risk
19f3170069e67e9e,[Case #95] This is the third time I'm reporting the same issue,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 01:40:53 -0700",technical,urgent_negative,5,critical,0.98,Persistent integration failure between the CRM and the platform that has not been addressed by previous support interventions.,Escalate the ticket to a senior technical engineer for a root cause analysis and provide the customer with a concrete resolution timeline within 24 hours.,The customer is reporting a recurring CRM sync failure for the third time and is threatening to churn due to lack of resolution.,"['ERR-95', 'ACC-95']",1,47,high
19f316fadfa69582,[Case #70] Very disappointed with recent service quality,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 01:40:30 -0700",technical,urgent_negative,5,critical,0.98,An unannounced deployment of breaking changes to the API infrastructure caused immediate service disruption for existing integrations.,Immediately escalate to the engineering team to investigate the API changes and provide a rollback or urgent migration documentation to the client.,The user is reporting that recent undocumented changes to the /api/v2 endpoints have caused breaking issues for their integrations.,"['/api/v2', 'ACC-70']",1,47,high
19f316fb5783106a,[Case #73] Very disappointed with recent service quality,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 01:40:32 -0700",technical,urgent_negative,5,critical,0.98,Persistent failure in the integration middleware causing recurring synchronization errors between the CRM and the platform.,Escalate the ticket to a senior technical lead for a root cause analysis and provide the customer with a concrete resolution timeline within 4 hours.,"The customer is reporting a recurring, unresolved CRM synchronization issue and is threatening to churn.","['ERR-73', 'ACC-73']",1,47,high
19f316fcfc030191,[Case #81] Very disappointed with recent service quality,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 03:40:39 -0500",technical,urgent_negative,5,critical,0.98,An unannounced deployment of breaking changes to the API infrastructure caused a regression in existing client integrations.,Escalate to the engineering team to investigate the recent /api/v2 deployment and provide the user with a rollback or immediate migration path.,The user is reporting that recent undocumented changes to the /api/v2 endpoints have caused breaking issues for their integrations.,"['/api/v2', 'ACC-81']",1,47,high
19f316f642500a66,[Case #49] This is the third time I'm reporting the same issue,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 01:40:11 -0700",technical,urgent_negative,5,critical,0.98,Persistent integration synchronization failure likely caused by an unresolved backend bug or API configuration mismatch associated with error code ERR-49.,Escalate the ticket to a senior technical engineer for an immediate root cause analysis and provide the customer with a concrete resolution timeline.,The customer is reporting a recurring synchronization failure between their CRM and the platform for the third time and is threatening to churn.,"['ERR-49', 'ACC-49']",1,47,high
19f316f776ed0694,[Case #55] Extremely frustrated with lack of response,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 04:40:16 -0400",technical,urgent_negative,5,critical,0.98,A recurring technical failure in the CRM integration sync process that has not been effectively addressed by previous support interventions.,Escalate the ticket to a senior technical engineer for an immediate root cause analysis and provide the customer with a concrete resolution timeline.,The customer is expressing extreme frustration regarding an unresolved CRM sync issue that has persisted for 17 days despite multiple follow-ups.,"['ERR-55', 'ACC-55']",1,47,high
19f316f8441b1d3e,[Case #59] Data sync broken between environments,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 04:40:20 -0400",technical,urgent_negative,5,critical,0.98,A potential server-side instability or resource contention is causing intermittent failures on the reporting API endpoint.,Escalate to the engineering team to investigate the server logs for the /v2/reports/59 endpoint and provide an update to the customer within the requested 16-hour window.,The user is reporting intermittent 500 Internal Server Errors on the /v2/reports/59 endpoint that are disrupting their production reporting pipeline.,"['/v2/reports/59', 'ERR-59']",1,47,high
19f316f9cc5b8f3d,[Case #66] Extremely frustrated with lack of response,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 01:40:26 -0700",technical,urgent_negative,5,critical,0.98,A breaking change was deployed to the production API environment without prior communication or a deprecation period for existing integrations.,Immediately escalate to the engineering team to investigate the API changes and provide the customer with a rollback option or urgent migration documentation.,"The customer is reporting that recent undocumented changes to the /api/v2 endpoints have caused their integrations to fail, impacting their own end-users.","['/api/v2', 'ACC-66']",1,47,high
19f316f3cff7904b,[Case #37] Very disappointed with recent service quality,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 01:40:01 -0700",technical,urgent_negative,5,critical,0.98,The engineering team deployed breaking changes to the API without providing a deprecation period or migration notification to existing users.,Escalate to the engineering team to investigate the breaking changes and provide the user with an immediate hotfix or rollback instructions.,The user is reporting that recent undocumented changes to the /api/v2 endpoints have caused breaking issues for their integrations.,"['/api/v2', 'ACC-37']",1,47,high
19f316e79cb9f13e,[Case #3] Very disappointed with recent service quality,CasePilot <casepilot.demo@gmail.com>,"Sun, 5 Jul 2026 01:39:11 -0700",technical,urgent_negative,5,critical,0.98,Persistent integration failure between the CRM and the platform that has not been addressed by previous support attempts.,Escalate the ticket to a senior technical engineer for an immediate root cause analysis and provide the customer with a concrete resolution timeline.,"The customer is reporting a recurring, unresolved sync issue between their CRM and the platform and is threatening to switch vendors.","['ERR-3', 'ACC-3']",1,47,high
